"Reference","Qty","Value","Manufacturer Part No","Description"
"C4,C5","2","10u","C2012X5R1C106M085AC","SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R"
"C6,C9,C10,C11,C12,C13,C14,C15","8","100n","0805B104K160CT","SMD Multilayer Ceramic Capacitor, 0.1 µF, 16 V, 0805 [2012 Metric], ± 10%, X7R"
"C7","1","10n","C0805S103K4RACTU","SMD Multilayer Ceramic Capacitor, 0.01 µF, 16 V, 0805 [2012 Metric], ± 10%, X7R"
"C8","1","4.7u","EEE1EA4R7NR","SMD Aluminium Electrolytic Capacitor, Radial Can - SMD, 4.7 µF, 25 V, 2000 hours @ 85°C"
"D1,D3,D4,D5,D6","5","LED","KP-2012MGC","LED, Low Power, Green, SMD, 0805 [2012 Metric], 20 mA, 2.1 V, 570 nm"
"D2","1","Y LED","KP-2012SECK","LED, Low Power, Orange, SMD, 0805 [2012 Metric], 20 mA, 2.1 V, 601 nm"
"D7","1","AAA3528ESGCT","AAA3528ESGCT","Green, Red 568nm Green, 617nm Red LED Indication - Discrete 2.2V Green, 2V Red 4-PLCC"
"J1","1","BatteryHolder","1057TR","Battery Holder (Open) Coin, 20.0mm 1 Cell SMD (SMT) Tab"
"J2","1","DA15_Socket","MHDD15-F-T-B-S-R ","MH Connectors MHDD 15 Way Right Angle Through Hole D-sub Connector Socket, 2.77mm Pitch"
"J3","1","LEMHAL Header","26-60-5040","Pin Header, Right Angle, Power, 3.96 mm, 1 Rows, 4 Contacts, Through Hole Right Angle, KK 396 41792"
"L1","1","4.7u","EPL3015-472MLC","Power Inductor (SMD), 4.7 µH, 1.4 A, Shielded, 550 mA, EPL3015 Series"
"Q1","1","PMOS","AO3407A","MOSFET P-CH 30V 4.3A SOT23-3L"
"R1,R3,R4,R5,R6,R8","6","2.2k","MC01W080512K2","SMD Chip Resistor, 2.2 kohm, ± 1%, 100 mW, 0805 [2012 Metric], Thick Film, General Purpose"
"R2,R7","2","2.7k","MCMR08X2701FTL","SMD Chip Resistor, Ceramic, 2.7 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film"
"R9,R10","2","10k","CR0805-FX-1002ELF","SMD Chip Resistor, 10 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose"
"R11,R12,R13,R14","4","1k","MCMR08X1001FTL","SMD Chip Resistor, Ceramic, 1 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, Sulfur Resistant"
"R15,R16,R17,R18,R19","5","100k","ERJP6WF1003V","SMD Chip Resistor, 100 kohm, ± 1%, 500 mW, 0805 [2012 Metric], Thick Film (Double Sided)"
"RV1","1","100k","3314G-1-104E","Trimmer, Single Turn, Cermet, Top Adjust, 100 kohm, Surface Mount, 1 Turns"
"SW1","1","SW_SPST","TS04-66-70-BK-160-SMT","TS04-66-70-BK-160-SMT"
"SW2","1","OS102011MA1QS1","OS102011MA1QS1","Slide Switch SPDT Through Hole, Right Angle"
"U1","1","MAX16054AZT_T","MAX16054AZT+T","On/Off Controller with Debounce"
"U2","1","TPS61221DCK","TPS61221DCKT ","400 mA Step-Up Converter, Fixed 3.3V Output Voltage, 0.7-5.5V Input Voltage, SC-70"
"U3","1","ICM7555xB","ICM7555ESA+T","555 Type, Timer/Oscillator (Single) IC 500kHz 8-SOIC"
"U4","1","4017","CD4017BM96","Counter IC Counter, Decade 1 Element 10 Bit Positive, Negative 16-SOIC"
"U5","1","TMUX1574DYY","4 Circuit IC Switch 2:1 4.5Ohm 16-SOT-23-THIN","4 Circuit IC Switch 2:1 4.5Ohm 16-SOT-23-THIN"
"U6,U7","2","74HC14","74HC14D","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"U8","1","USBLC6-4SC6","USBLC6-4SC6","17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6"
"U9,U10","2","7408","74HC08D","AND Gate IC 4 Channel 14-SOIC"
"U11","1","4072","CD4072BM96","OR Gate IC 2 Channel 14-SOIC"
